"","State","Year","Type_code","Type","Gender","Age_group","Total"
"3904","A & N Islands",2007,"Social_Status","Married","Female","0-100+",33
"121274","Kerala",2012,"Causes","Suspected/Illicit Relation","Female","30-44",2
"26774","Assam",2012,"Means_adopted","By Consuming Other Poison","Female","30-44",63
"205363","Tamil Nadu",2005,"Means_adopted","By Over Alcoholism","Female","60+",0
"112449","Karnataka",2008,"Means_adopted","By coming under running vehicles/trains","Female","30-44",18
"230474","Uttarakhand",2012,"Means_adopted","By Hanging","Male","0-14",3
"214856","Tripura",2008,"Professional_Profile","Others (Please Specify)","Female","30-44",10
"211692","Tripura",2003,"Causes","Physical Abuse (Rape/Incest Etc.)","Male","30-44",0
"14547","Arunachal Pradesh",2002,"Professional_Profile","Self-employed (Business activity)","Female","30-44",0
"92205","Himachal Pradesh",2008,"Means_adopted","By Other means (please specify)","Male","60+",5
"113371","Karnataka",2010,"Causes","Professional/Career Problem","Male","30-44",16
"162949","Nagaland",2002,"Causes","Bankruptcy or Sudden change in Economic Status","Male","60+",0
"161315","Mizoram",2011,"Means_adopted","By Overdose of sleeping pills","Female","0-14",0
"118710","Kerala",2007,"Means_adopted","By Jumping off Moving Vehicles/Trains","Female","45-59",4
"51186","D & N Haveli",2007,"Professional_Profile","Self-employed (Business activity)","Male","60+",0
"17312","Arunachal Pradesh",2007,"Professional_Profile","Professional Activity","Female","15-29",0
"97785","Jammu & Kashmir",2006,"Means_adopted","By touching electric wires","Male","30-44",1
"190882","Rajasthan",2004,"Causes","Bankruptcy or Sudden change in Economic","Female","0-14",0
"63626","Delhi (Ut)",2006,"Causes","Not having Children(Barrenness/Impotency","Male","15-29",0
"25380","Assam",2010,"Causes","Other Prolonged Illness","Male","15-29",41
"30296","Bihar",2006,"Professional_Profile","Self-employed (Business activity)","Female","15-29",1
"163990","Nagaland",2004,"Causes","Fall in Social Reputation","Female","45-59",0
"89587","Himachal Pradesh",2004,"Causes","Not having Children(Barrenness/Impotency","Female","15-29",1
"232582","West Bengal",2004,"Causes","Other Prolonged Illness","Male","30-44",121
"143544","Manipur",2003,"Professional_Profile","Service (Private)","Female","0-14",0
"21269","Assam",2002,"Professional_Profile","House Wife","Female","30-44",178
