"","Year","Gender_Female","Type_code","Total"
"1",2001,1,"Causes",1
"2",2001,1,"Causes",1
"3",2001,1,"Causes",8
"4",2001,1,"Causes",8
"5",2001,1,"Causes",6
"6",2001,1,"Causes",5
"7",2001,1,"Causes",2
"8",2001,1,"Causes",2
"9",2001,1,"Causes",3
"10",2001,1,"Causes",2
"11",2001,1,"Causes",1
"12",2001,1,"Causes",1
"13",2001,1,"Causes",2
"14",2001,1,"Causes",2
"15",2001,1,"Causes",1
"16",2001,1,"Causes",2
"17",2001,1,"Causes",1
"18",2001,1,"Causes",1
"19",2001,1,"Causes",1
"20",2002,1,"Causes",1
"21",2002,1,"Causes",1
"22",2002,1,"Causes",11
"23",2002,1,"Causes",7
"24",2002,1,"Causes",2
"25",2002,1,"Causes",2
"26",2002,1,"Causes",1
"27",2002,1,"Causes",1
"28",2002,1,"Causes",4
"29",2002,1,"Causes",5
"30",2002,1,"Causes",2
"31",2002,1,"Causes",1
"32",2002,1,"Causes",3
"33",2002,1,"Causes",1
"34",2002,1,"Causes",2
"35",2002,1,"Causes",1
"36",2002,1,"Causes",1
"37",2002,1,"Causes",1
"38",2002,1,"Causes",1
"39",2002,1,"Causes",1
"40",2002,1,"Causes",1
"41",2002,1,"Causes",1
"42",2002,1,"Causes",1
"43",2002,1,"Causes",1
"44",2003,1,"Causes",1
"45",2003,1,"Causes",1
"46",2003,1,"Causes",1
"47",2003,1,"Causes",1
"48",2003,1,"Causes",1
"49",2003,1,"Causes",1
"50",2003,1,"Causes",2
"51",2003,1,"Causes",1
"52",2003,1,"Causes",4
"53",2003,1,"Causes",9
"54",2003,1,"Causes",2
"55",2003,1,"Causes",5
"56",2003,1,"Causes",3
"57",2003,1,"Causes",1
"58",2003,1,"Causes",1
"59",2003,1,"Causes",3
"60",2003,1,"Causes",1
"61",2003,1,"Causes",2
"62",2003,1,"Causes",2
"63",2003,1,"Causes",1
"64",2003,1,"Causes",2
"65",2004,1,"Causes",1
"66",2004,1,"Causes",1
"67",2004,1,"Causes",5
"68",2004,1,"Causes",1
"69",2004,1,"Causes",4
"70",2004,1,"Causes",4
"71",2004,1,"Causes",1
"72",2004,1,"Causes",1
"73",2004,1,"Causes",1
"74",2004,1,"Causes",3
"75",2004,1,"Causes",2
"76",2004,1,"Causes",6
"77",2004,1,"Causes",3
"78",2004,1,"Causes",2
"79",2004,1,"Causes",2
"80",2004,1,"Causes",4
"81",2004,1,"Causes",1
"82",2004,1,"Causes",1
"83",2004,1,"Causes",1
"84",2004,1,"Causes",1
"85",2005,1,"Causes",1
"86",2005,1,"Causes",2
"87",2005,1,"Causes",6
"88",2005,1,"Causes",3
"89",2005,1,"Causes",3
"90",2005,1,"Causes",2
"91",2005,1,"Causes",13
"92",2005,1,"Causes",1
"93",2005,1,"Causes",2
"94",2005,1,"Causes",2
"95",2005,1,"Causes",2
"96",2005,1,"Causes",1
"97",2005,1,"Causes",1
"98",2005,1,"Causes",4
"99",2005,1,"Causes",1
"100",2005,1,"Causes",2
"101",2005,1,"Causes",2
"102",2005,1,"Causes",4
"103",2005,1,"Causes",1
"104",2006,1,"Causes",1
"105",2006,1,"Causes",11
"106",2006,1,"Causes",9
"107",2006,1,"Causes",1
"108",2006,1,"Causes",3
"109",2006,1,"Causes",5
"110",2006,1,"Causes",2
"111",2006,1,"Causes",1
"112",2006,1,"Causes",2
"113",2006,1,"Causes",1
"114",2006,1,"Causes",1
"115",2007,1,"Causes",2
"116",2007,1,"Causes",1
"117",2007,1,"Causes",3
"118",2007,1,"Causes",13
"119",2007,1,"Causes",4
"120",2007,1,"Causes",5
"121",2007,1,"Causes",3
"122",2007,1,"Causes",1
"123",2007,1,"Causes",4
"124",2007,1,"Causes",1
"125",2007,1,"Causes",6
"126",2007,1,"Causes",2
"127",2007,1,"Causes",1
"128",2007,1,"Causes",2
"129",2007,1,"Causes",4
"130",2007,1,"Causes",2
"131",2007,1,"Causes",2
"132",2008,1,"Causes",5
"133",2008,1,"Causes",4
"134",2008,1,"Causes",10
"135",2008,1,"Causes",2
"136",2008,1,"Causes",2
"137",2008,1,"Causes",1
"138",2008,1,"Causes",2
"139",2008,1,"Causes",4
"140",2008,1,"Causes",6
"141",2008,1,"Causes",2
"142",2008,1,"Causes",1
"143",2008,1,"Causes",2
"144",2008,1,"Causes",1
"145",2008,1,"Causes",1
"146",2008,1,"Causes",2
"147",2009,1,"Causes",7
"148",2009,1,"Causes",1
"149",2009,1,"Causes",8
"150",2009,1,"Causes",1
"151",2009,1,"Causes",3
"152",2009,1,"Causes",1
"153",2009,1,"Causes",4
"154",2009,1,"Causes",1
"155",2009,1,"Causes",5
"156",2009,1,"Causes",2
"157",2009,1,"Causes",5
"158",2009,1,"Causes",2
"159",2009,1,"Causes",3
"160",2009,1,"Causes",1
"161",2009,1,"Causes",1
"162",2010,1,"Causes",1
"163",2010,1,"Causes",3
"164",2010,1,"Causes",1
"165",2010,1,"Causes",12
"166",2010,1,"Causes",2
"167",2010,1,"Causes",2
"168",2010,1,"Causes",5
"169",2010,1,"Causes",2
"170",2010,1,"Causes",1
"171",2010,1,"Causes",4
"172",2010,1,"Causes",5
"173",2010,1,"Causes",1
"174",2010,1,"Causes",2
"175",2010,1,"Causes",3
"176",2011,1,"Causes",2
"177",2011,1,"Causes",2
"178",2011,1,"Causes",3
"179",2011,1,"Causes",6
"180",2011,1,"Causes",2
"181",2011,1,"Causes",3
"182",2011,1,"Causes",1
"183",2011,1,"Causes",4
"184",2011,1,"Causes",1
"185",2011,1,"Causes",1
"186",2011,1,"Causes",4
"187",2011,1,"Causes",1
"188",2011,1,"Causes",1
"189",2011,1,"Causes",3
"190",2011,1,"Causes",1
"191",2011,1,"Causes",1
"192",2011,1,"Causes",1
"193",2011,1,"Causes",3
"194",2011,1,"Causes",1
"195",2011,1,"Causes",1
"196",2012,1,"Causes",1
"197",2012,1,"Causes",2
"198",2012,1,"Causes",1
"199",2012,1,"Causes",5
"200",2012,1,"Causes",3
"201",2012,1,"Causes",9
"202",2012,1,"Causes",1
"203",2012,1,"Causes",5
"204",2012,1,"Causes",3
"205",2012,1,"Causes",3
"206",2012,1,"Causes",1
"207",2012,1,"Causes",3
"208",2012,1,"Causes",1
"209",2012,1,"Causes",3
"210",2001,1,"Causes",4
"211",2001,1,"Causes",6
"212",2001,1,"Causes",20
"213",2001,1,"Causes",4
"214",2001,1,"Causes",2
"215",2001,1,"Causes",7
"216",2001,1,"Causes",17
"217",2001,1,"Causes",5
"218",2001,1,"Causes",3
"219",2001,1,"Causes",3
"220",2001,1,"Causes",61
"221",2001,1,"Causes",1
"222",2001,1,"Causes",48
"223",2001,1,"Causes",2
"224",2001,1,"Causes",2
"225",2001,1,"Causes",112
"226",2001,1,"Causes",9
"227",2001,1,"Causes",40
"228",2001,1,"Causes",23
"229",2001,1,"Causes",155
"230",2001,1,"Causes",65
"231",2001,1,"Causes",342
"232",2001,1,"Causes",6
"233",2001,1,"Causes",68
"234",2001,1,"Causes",44
"235",2001,1,"Causes",196
"236",2001,1,"Causes",7
"237",2001,1,"Causes",3
"238",2001,1,"Causes",159
"239",2001,1,"Causes",10
